,Historic Chena River Chum Salmon :  Red Data is Not Used and the Total Maybe Slightly Different Than the Reported Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
23-Jun,,,,,,,,,,,,,,,,,,,,,,,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,,,,,,,,,,,,,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,,,0,v,,,0,v,,,0,v,,,,,,
26-Jun,,,,,,,,,0,v,,,,,,,,,,,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,0,0,0,v,,,0,v,,,,,0,v
27-Jun,,,,,,,,,0,v,,,,,,,,,0,n,0,v,0,v,,,,,,,,,,,,,,,,,,,,,,,0,v,0,v,0,0,0,v,,,0,v,,,,,0,v
28-Jun,,,,,,,,,0,v,,,,,,,,,0,n,0,v,0,v,,,,,0,v,,,,,,,,,,,,,,,,,0,s,0,v,0,0,0,v,,,0,v,,,,,0,v
